zoneid,year,ward_code,total_pop,chinese_ethnic_count,chinese_ethnic_pct,asia_born_count,asia_born_pct,asia_born_pct_is_proxy,pop_16_74,econ_active_rate,unemployment_rate,self_employment_rate,total_hh_spaces,owner_occ_rate,council_rent_rate,private_rent_rate,overcrowd_rate,overcrowd_severe_rate,no_bath_wc_rate,no_car_rate
00BNFZ0026,2001,00BNFZ,416,6,1.44,113,27.16,True,297,38.72,9.09,3.37,125,38.4,8.0,48.0,8.27,2.26,21.88,54.41
00BNFZ0027,2001,00BNFZ,353,3,0.85,105,29.75,True,247,43.32,6.07,4.45,112,34.82,27.68,26.79,11.29,2.42,15.45,54.24
00BNFZ0028,2001,00BNFZ,468,3,0.64,154,32.91,True,303,41.91,3.63,3.63,141,41.13,18.44,32.62,15.17,6.21,14.29,50.34
00BNFZ0029,2001,00BNFZ,375,6,1.6,96,25.6,True,239,54.81,9.21,5.02,130,44.62,15.38,32.31,5.11,0.0,26.28,47.45
00BNFZ0030,2001,00BNFZ,310,0,0.0,88,28.39,True,211,54.5,9.95,9.0,125,33.6,15.2,23.2,7.26,2.42,13.45,58.02
00BNFZ0031,2001,00BNFZ,458,0,0.0,143,31.22,True,316,43.04,6.01,4.75,127,53.54,14.17,21.26,11.72,5.47,13.82,48.41
00BNFZ0032,2001,00BNFZ,495,3,0.61,157,31.72,True,324,48.15,7.72,8.02,127,54.33,5.51,28.35,14.29,5.56,13.6,36.72
00BNFZ0033,2001,00BNFZ,364,8,2.2,69,18.96,True,250,55.2,10.8,2.4,133,32.33,8.27,30.08,9.77,2.26,8.82,46.27
00BNFZ0034,2001,00BNFZ,383,0,0.0,104,27.15,True,248,54.03,5.24,5.65,137,61.31,7.3,16.79,5.07,0.0,13.01,40.14
00BNFZ0035,2001,00BNFZ,429,3,0.7,169,39.39,True,285,48.07,5.26,8.42,113,51.33,12.39,26.55,17.21,5.74,22.61,50.46
00BNFZ0036,2001,00BNFZ,322,6,1.86,20,6.21,True,193,51.81,7.25,3.11,128,7.81,78.12,8.59,7.63,3.05,2.27,69.7
00BNFZ0037,2001,00BNFZ,353,0,0.0,39,11.05,True,211,42.18,8.53,2.84,114,12.28,74.56,6.14,6.78,3.39,4.92,61.74
00BNFZ0038,2001,00BNFZ,244,6,2.46,8,3.28,True,181,74.03,4.97,5.52,119,67.23,5.88,20.17,2.52,0.0,21.64,39.66
00BNFZ0039,2001,00BNFZ,283,0,0.0,17,6.01,True,178,33.71,1.69,1.69,134,17.91,65.67,8.21,4.44,2.22,2.29,71.13
00BNFZ0040,2001,00BNFZ,300,0,0.0,15,5.0,True,182,43.41,6.59,0.0,128,15.62,67.19,14.06,0.0,0.0,0.0,67.41
00BNFZ0041,2001,00BNFZ,163,0,0.0,18,11.04,True,132,53.03,9.85,2.27,136,12.5,17.65,31.62,2.38,2.38,13.38,64.57
00BNFZ0042,2001,00BNFZ,390,3,0.77,45,11.54,True,372,38.44,2.69,1.61,126,23.02,5.56,66.67,0.0,0.0,12.12,62.9
00BNFZ0043,2001,00BNFZ,245,3,1.22,31,12.65,True,227,46.26,9.69,6.61,131,12.98,19.85,25.19,4.32,4.32,8.45,67.63
00BNFZ0044,2001,00BNFZ,299,0,0.0,3,1.0,True,220,47.27,6.82,3.64,159,15.72,74.21,6.29,1.96,0.0,5.96,68.46
00BNFZ0045,2001,00BNFZ,338,9,2.66,29,8.58,True,303,42.57,5.28,0.99,113,10.62,5.31,84.07,0.0,0.0,8.41,63.55
00BNFZ0046,2001,00BNFZ,397,18,4.53,47,11.84,True,334,46.41,5.99,2.4,139,20.14,7.19,56.83,6.72,4.48,16.38,62.9
00BNGA0001,2001,00BNGA,277,0,0.0,3,1.08,True,185,47.03,7.57,1.62,126,9.52,83.33,3.97,7.81,2.34,2.46,72.03
00BNGA0002,2001,00BNGA,249,9,3.61,27,10.84,True,180,31.11,8.33,1.67,129,16.28,27.13,18.6,4.55,2.27,15.08,73.44
00BNGA0003,2001,00BNGA,275,3,1.09,12,4.36,True,244,63.93,3.69,3.69,147,72.11,4.76,20.41,0.0,0.0,33.79,43.36
00BNGA0004,2001,00BNGA,294,6,2.04,10,3.4,True,160,41.88,6.88,1.88,135,12.59,63.7,9.63,4.69,4.69,0.0,61.72
00BNGA0005,2001,00BNGA,257,0,0.0,6,2.33,True,174,44.25,8.62,0.0,115,5.22,80.87,5.22,4.1,0.0,4.84,71.17
00BNGA0006,2001,00BNGA,293,3,1.02,21,7.17,True,177,44.07,9.6,1.69,117,5.98,78.63,12.82,6.72,0.0,9.16,67.24
